"時間,担当,準備・動き,進行内容"
"14:31,司会,様子見,12) 1回目車座スタートします。お一人様2分となります。"
"14:49,司会,席替え誘導,13) 席替えを行います。荷物をまとめ、飲み物も一緒に持ってご移動ください。次のテーブル番号をご確認ください。"
"14:52,司会,壇上照明OFF / 人数調整,14) 2回目車座商談会。TMの皆さん、人数調整を行いますので6名より少ないところがあれば挙手でお知らせください。お一人様2分を目安に、準備が整い次第スタートします。"
"15:10,比嘉,ブースPR担当,15) 続いてブースPRタイムです。aroma room なごみの比嘉さん、よろしくお願いします。お一人様30秒です。"
"15:10,比嘉,次第の順に案内,特別枠（綿谷）、1.上江洲、2.中島、3.仲本、4.伊敷、5.小林、6.山崎、7.知花、8.セントローレント、9.天野、10.座安、11.會澤、12.生藤、13.若林、14.谷水の順です。"
"15:19,司会,壇上照明OFF,16) 第1部終了。休憩に入ります。ゲストの方はオリエンテーションのため受付前へ。お車の方は駐車券に印鑑、マッチングPOPの提出、懇親会費の支払いをお願いします。"
"15:37,司会,スタンドマイク使用,まもなく第2部商談懇談会が始まります。ご着席ください。"
"15:39,司会,壇上照明OFF / 動画終了後ON,1) 第2部スタート。守成マップについての説明動画を流します。担当の {mapper} さん、ご起立ください。"
"15:40,司会,挨拶,2) 全国連絡協議会 常務理事、那覇会場旗手の義元大蔵様よりご挨拶をしていただきます。"
"15:45,司会,アナウンス,3) 新設会場、大会のお知らせ。上原たかしさん（浦添会場）壇上にお上がりください。他に告知がある方も壇上へお越しください。"
"15:47,司会,スタンドマイク / 当日確認,4) 商談報告。守成を通じての商談事例を報告して頂きます。本日は3組（伊敷・加藤、外間・ステーキ協会、小林・神田橋）です。1組30秒でお願いします。"
"15:49,司会,名刺交換音楽,5) 大名刺交換会。参加者全員と名刺交換ができる恒例のプログラムです。名刺を交換したら、半歩右に移動するをテンポよく繰り返してください。"
"15:59,外間,照明ON,6) マッチングPOPの読み上げ。外間さんお願いいたします。"
"16:04,司会,紹介者・ゲスト登壇,7) 新規入会予定者紹介。お名前をお呼びしますのでご紹介者と一緒にステージへ。紹介者の方は30秒以内でお願いします。皆様、せーの！！めんそ～れ～！"
"16:15,世話人,スタンドマイク使用,8) 世話人からのお願いとお知らせ。自主運営への協力、がんばれ冊子、1/28ランチ会(猫茶楼)、2/6夜会(バルクアップ)、次回2/17（場所：コレクティブ）の案内。"
"16:18,司会,全員ご起立下さい,9) 出発進行。創設者 伊藤小一氏の想いを継続するメッセージです。本日の出発進行は、{dep} さんです。"
"16:21,司会,世話人は前に出る,10) 終了アナウンス。舞台近くの伊集の所へオリエン参加をお願いします。名札の返却、ゴミの持ち帰りをお願いします。本日の司会進行は桜井と神田橋でした。"
"16:22,世話人,全員でペコリ,ひさのさんの掛け声「本日はありがとうございました～！」の後に、全員で「ありがとうございました。」それでは、皆様、全員で片付けのご協力をお願い致します。"
